DateTime,Open,High,Low,Close,Volume
2022-01-03 04:00:00,336.3505,338.2134,336.3505,337.7153,2158
2022-01-03 04:15:00,337.7851,337.7851,337.7153,337.7153,1081
2022-01-03 04:30:00,337.6954,337.7054,337.6954,337.6954,300
2022-01-03 04:45:00,337.1475,337.1475,336.4800,336.8187,2572
2022-01-03 05:00:00,336.7191,336.9184,336.7191,336.8187,450
2022-01-03 05:15:00,336.7191,337.2172,336.7191,337.1375,675
2022-01-03 05:30:00,337.1674,337.5559,337.1674,337.5559,377
2022-01-03 06:00:00,337.3866,337.3866,337.3866,337.3866,146
2022-01-03 06:15:00,337.4065,337.4065,337.3667,337.3667,860
2022-01-03 06:30:00,337.3667,337.3667,337.1176,337.1176,1300
2022-01-03 06:45:00,337.5161,337.6556,337.5161,337.6556,200
2022-01-03 07:00:00,337.3268,337.4165,336.7390,337.2073,6544
2022-01-03 07:15:00,336.9781,337.7153,336.9781,337.6755,4845
2022-01-03 07:30:00,337.5161,337.9644,337.4663,337.8648,12266
2022-01-03 07:45:00,337.8648,337.8747,337.4165,337.5161,1590
2022-01-03 08:00:00,337.5870,338.0142,336.7291,337.9943,15415
2022-01-03 08:15:00,337.7171,337.8648,337.7153,337.8149,1867
2022-01-03 08:30:00,337.8149,337.8149,337.2073,337.2670,10585
2022-01-03 08:45:00,337.5559,337.5559,337.0379,337.0379,13553
2022-01-03 09:00:00,337.0479,337.1176,336.3406,336.7789,15806
2022-01-03 09:15:00,336.7789,337.7253,336.3704,336.9482,18944
2022-01-03 09:30:00,337.0130,339.2594,335.9122,338.7115,1297229
2022-01-03 09:45:00,338.7265,338.8511,336.5796,337.0479,539434
2022-01-03 10:00:00,336.8785,339.5720,336.3854,338.6816,442498
2022-01-03 10:15:00,338.7016,339.7890,337.8548,339.0004,375514
2022-01-03 10:30:00,339.0004,339.3342,338.0939,338.3429,254982
2022-01-03 10:45:00,338.3330,339.0602,338.0441,338.3778,303864
2022-01-03 11:00:00,338.4002,338.6717,336.9582,337.1574,311340
2022-01-03 11:15:00,337.1375,337.9943,337.0180,337.3368,262137
2022-01-03 11:30:00,337.2272,337.3455,336.3804,337.0480,212592
2022-01-03 11:45:00,337.0678,337.8050,336.9482,337.0220,178843
2022-01-03 12:00:00,337.0180,337.2669,336.4900,336.8088,139276
2022-01-03 12:15:00,336.7897,337.1973,336.5099,336.9383,125786
2022-01-03 12:30:00,336.9931,337.4663,336.6195,337.4513,122704
2022-01-03 12:45:00,337.4563,338.4419,337.3368,338.4177,227958
2022-01-03 13:00:00,338.4426,338.6119,337.4463,337.8847,231510
2022-01-03 13:15:00,337.8548,337.9544,337.5659,337.7153,125255
2022-01-03 13:30:00,337.7950,338.0740,337.3368,337.9793,170331
2022-01-03 13:45:00,337.9694,337.9749,337.3766,337.8248,127151
2022-01-03 14:00:00,337.8349,337.8747,337.2172,337.6556,136904
2022-01-03 14:15:00,337.6257,337.7950,337.3766,337.6556,102518
2022-01-03 14:30:00,337.6655,337.9943,337.4364,337.8747,190381
2022-01-03 14:45:00,337.8249,338.3927,337.4862,337.6655,256034
2022-01-03 15:00:00,337.6157,338.6118,337.5360,338.4153,196501
2022-01-03 15:15:00,338.4724,338.9307,338.2533,338.6418,223477
2022-01-03 15:30:00,338.7114,338.8311,337.9843,338.1437,239137
2022-01-03 15:45:00,338.1636,338.6119,336.9184,337.2870,737638
2022-01-03 16:00:00,337.2571,337.4541,336.7191,337.4264,2296009
2022-01-03 16:15:00,337.4862,337.6655,337.3866,337.4463,4830
2022-01-03 16:30:00,337.4165,337.6057,337.4165,337.6057,1600
2022-01-03 16:45:00,337.6057,337.6456,337.6057,337.6456,1200
2022-01-03 17:00:00,337.5161,337.7054,337.5161,337.7054,300
2022-01-03 17:15:00,337.5360,337.7054,337.5360,337.7054,2804
2022-01-03 17:30:00,337.7153,337.7153,337.6157,337.6157,1870
2022-01-03 17:45:00,337.6954,337.6954,337.6157,337.6157,200
2022-01-03 18:00:00,337.7352,337.7352,337.5161,337.7153,3164
2022-01-03 18:15:00,337.6954,337.7950,337.6954,337.7950,854
2022-01-03 18:30:00,337.6157,337.6157,337.3168,337.3168,522
2022-01-03 18:45:00,337.3368,337.3368,337.3168,337.3168,367
2022-01-03 19:00:00,337.2273,337.2571,336.9184,337.2172,4653
2022-01-03 19:15:00,336.9383,337.2571,336.8187,336.8685,3270
2022-01-03 19:30:00,336.9184,337.0678,336.8885,337.0180,2013
2022-01-03 19:45:00,336.8387,337.4165,336.8387,337.3667,5255
2022-01-04 04:00:00,337.2571,337.2571,337.2172,337.2172,406
2022-01-04 04:15:00,337.0180,337.0180,337.0180,337.0180,150
2022-01-04 04:30:00,337.3069,338.4824,337.3069,337.4165,1902
2022-01-04 04:45:00,337.3965,337.4165,337.3965,337.4165,244
2022-01-04 05:00:00,337.4762,337.6954,337.4762,337.6954,200
2022-01-04 06:00:00,338.0142,338.0142,338.0142,338.0142,796
2022-01-04 06:30:00,338.2134,338.5123,338.2134,338.5123,300
2022-01-04 06:45:00,338.4127,338.4127,338.2134,338.2134,384
2022-01-04 07:00:00,338.3131,338.5123,338.2134,338.2732,1878
2022-01-04 07:15:00,338.0640,338.0640,337.8149,337.8149,2386
2022-01-04 07:30:00,337.9146,338.0640,337.9146,338.0640,918
