DateTime,Open,High,Low,Close,Volume
2022-01-03 04:00:00,144.9734,144.9734,144.9734,144.9734,4900
2022-01-03 07:00:00,144.8737,144.8737,144.8737,144.8737,2200
2022-01-03 09:00:00,144.7243,144.7243,144.4005,144.4005,13820
2022-01-03 09:15:00,144.3536,144.7741,144.3536,144.7303,9000
2022-01-03 09:30:00,144.5300,145.3231,144.4094,144.9948,1351680
2022-01-03 09:45:00,145.0232,145.0232,143.7321,143.7339,510460
2022-01-03 10:00:00,143.7347,143.9496,143.1926,143.5964,404220
2022-01-03 10:15:00,143.5386,144.3511,143.5291,144.1768,429940
2022-01-03 10:30:00,144.0522,144.5748,143.9770,144.5250,381740
2022-01-03 10:45:00,144.6401,144.9734,144.3053,144.6132,306540
2022-01-03 11:00:00,144.6715,144.6715,144.1728,144.2490,334580
2022-01-03 11:15:00,144.3222,144.3676,144.0343,144.1075,230760
2022-01-03 11:30:00,144.1945,144.3487,144.0174,144.2475,162360
2022-01-03 11:45:00,144.3021,144.4453,144.1123,144.1123,193160
2022-01-03 12:00:00,144.0881,144.2741,143.9272,144.2438,106460
2022-01-03 12:15:00,144.3108,144.5093,144.2306,144.2630,125120
2022-01-03 12:30:00,144.3322,144.4059,144.2764,144.3855,71920
2022-01-03 12:45:00,144.3766,144.8643,144.3766,144.8475,301960
2022-01-03 13:00:00,144.9555,145.0895,144.6625,144.9425,202180
2022-01-03 13:15:00,144.9998,145.0481,144.9450,144.9913,153160
2022-01-03 13:30:00,144.9933,144.9941,144.8060,144.9370,260440
2022-01-03 13:45:00,144.9485,144.9485,144.8359,144.8690,176200
2022-01-03 14:00:00,144.8914,144.9485,144.7345,144.7345,359800
2022-01-03 14:15:00,144.7347,144.7357,144.3950,144.4309,219680
2022-01-03 14:30:00,144.4523,144.8399,144.2869,144.8160,307180
2022-01-03 14:45:00,144.7741,144.8670,144.5051,144.5051,354360
2022-01-03 15:00:00,144.5218,144.7741,144.5218,144.6645,279940
2022-01-03 15:15:00,144.7059,144.7542,144.5574,144.5574,425240
2022-01-03 15:30:00,144.5833,144.7607,144.1907,144.2373,358520
2022-01-03 15:45:00,144.2373,144.4503,143.9770,144.4503,1544380
2022-01-03 16:00:00,144.4667,144.4752,144.4667,144.4667,4442760
2022-01-03 16:45:00,144.6516,144.6516,144.6516,144.6516,9760
2022-01-03 17:45:00,144.7243,144.7243,144.7243,144.7243,2820
2022-01-03 18:45:00,144.5818,144.5818,144.5818,144.5818,2000
2022-01-04 06:15:00,144.9739,144.9739,144.9739,144.9739,2000
2022-01-04 08:00:00,144.8244,144.9726,144.8244,144.9726,6860
2022-01-04 09:30:00,144.8698,145.3149,144.3756,145.3057,748600
2022-01-04 09:45:00,145.2319,145.9547,144.9988,145.6654,562340
2022-01-04 10:00:00,145.7670,145.8238,144.7243,144.8219,502000
2022-01-04 10:15:00,144.8394,145.0830,144.5016,145.0633,310260
2022-01-04 10:30:00,144.9908,145.3096,144.4752,144.5255,241020
2022-01-04 10:45:00,144.4961,144.6371,143.5715,143.7483,348620
2022-01-04 11:00:00,143.6417,144.0629,143.5416,143.8923,347920
2022-01-04 11:15:00,143.7962,143.8649,143.5286,143.7747,208840
2022-01-04 11:30:00,143.8076,144.2087,143.7929,144.0477,311040
2022-01-04 11:45:00,144.0759,144.3556,144.0759,144.2022,473660
2022-01-04 12:00:00,144.1613,144.4657,144.0976,144.3169,194180
2022-01-04 12:15:00,144.3751,144.3843,144.1364,144.1364,318360
2022-01-04 12:30:00,144.0651,144.1260,143.9016,143.9506,310080
2022-01-04 12:45:00,143.9830,144.0883,143.6607,143.7727,160200
2022-01-04 13:00:00,143.8066,143.9299,143.6552,143.6925,282560
2022-01-04 13:15:00,143.7105,143.7105,143.4335,143.5002,232360
2022-01-04 13:30:00,143.5137,143.6815,143.1961,143.4347,154060
2022-01-04 13:45:00,143.4524,143.4574,143.3074,143.3074,113300
2022-01-04 14:00:00,143.2716,143.5496,143.2716,143.5092,220680
2022-01-04 14:15:00,143.5630,143.6138,143.3054,143.3308,120700
2022-01-04 14:30:00,143.3757,143.7553,143.3757,143.7553,156800
2022-01-04 14:45:00,143.7553,143.9092,143.6914,143.8776,100900
2022-01-04 15:00:00,143.9063,144.1813,143.8340,144.1556,143620
2022-01-04 15:15:00,144.1404,144.3158,144.0193,144.2749,222960
2022-01-04 15:30:00,144.2684,144.4199,144.1190,144.3671,288280
2022-01-04 15:45:00,144.3770,144.6152,143.8151,143.8530,994620
2022-01-04 16:00:00,143.8530,143.8769,143.5889,143.8171,5247480
2022-01-04 16:15:00,143.6283,143.6283,143.6283,143.6283,2000
2022-01-04 17:30:00,143.8131,143.8714,143.6283,143.8714,9220
2022-01-05 08:15:00,143.4290,143.4290,143.4290,143.4290,4000
2022-01-05 09:00:00,143.5730,143.9122,143.5730,143.9122,8000
2022-01-05 09:15:00,143.9242,143.9242,143.7957,143.7957,6000
2022-01-05 09:30:00,143.8973,143.9764,142.3697,142.9936,998640
2022-01-05 09:45:00,142.9328,143.1256,142.3664,142.3855,475960
2022-01-05 10:00:00,142.3614,142.5965,141.8597,141.8878,518400
2022-01-05 10:15:00,141.9325,142.2164,141.8861,142.0786,283940
2022-01-05 10:30:00,142.0784,142.0784,141.2833,141.2888,628760
2022-01-05 10:45:00,141.2541,141.4435,140.9879,141.4392,865160
2022-01-05 11:00:00,141.3874,141.3889,140.8882,141.1368,584120
2022-01-05 11:15:00,141.1797,141.3067,140.8942,141.1647,326080
2022-01-05 11:30:00,141.1597,141.1931,140.4598,140.4598,456840
2022-01-05 11:45:00,140.4827,140.6180,140.2804,140.3661,694260
2022-01-05 12:00:00,140.2934,140.4359,140.1414,140.2144,805000
2022-01-05 12:15:00,140.1899,140.3517,140.1105,140.2494,350980
2022-01-05 12:30:00,140.2206,140.2206,139.8181,139.9113,347260
2022-01-05 12:45:00,139.8978,139.9686,139.5185,139.5989,356020
2022-01-05 13:00:00,139.6348,139.7982,139.5182,139.7969,341220
2022-01-05 13:15:00,139.8365,140.3791,139.8365,140.3407,307640
2022-01-05 13:30:00,140.2839,140.3940,139.9466,140.0697,262240
2022-01-05 13:45:00,140.0298,140.0523,139.7284,139.8086,521220
2022-01-05 14:00:00,139.8086,140.4578,139.2452,139.4255,604360
2022-01-05 14:15:00,139.4504,139.7184,139.3941,139.4664,320720
2022-01-05 14:30:00,139.5155,139.5421,138.5597,138.6120,435760
2022-01-05 14:45:00,138.6210,139.2063,138.4780,138.5183,918880
2022-01-05 15:00:00,138.4830,138.5642,137.9150,138.4944,832380
2022-01-05 15:15:00,138.4640,138.5119,138.0764,138.2887,673360
2022-01-05 15:30:00,138.2662,138.4645,137.9987,138.0535,906080
2022-01-05 15:45:00,138.0710,138.0710,137.1897,137.2325,2673000
2022-01-05 16:00:00,137.2763,137.5005,137.2763,137.5005,4534160
2022-01-05 16:15:00,137.5005,137.6952,137.2763,137.2763,1328600
2022-01-05 16:30:00,137.4821,137.4821,137.4821,137.4821,2900
2022-01-05 17:00:00,137.2763,137.2763,137.2763,137.2763,58640
2022-01-05 18:00:00,137.2514,137.2514,137.0791,137.0791,6380
2022-01-05 19:15:00,137.7496,137.7496,137.7496,137.7496,2000
2022-01-05 19:30:00,137.5753,137.5753,137.5753,137.5753,3420
2022-01-05 19:45:00,137.4507,137.4507,137.4507,137.4507,9220
2022-01-06 05:00:00,137.7496,137.7496,137.7496,137.7496,2000
2022-01-06 05:30:00,137.6056,137.6056,137.6056,137.6056,2140
2022-01-06 06:00:00,137.5758,137.5758,137.5758,137.5758,2000
2022-01-06 06:15:00,137.3511,137.3511,137.3511,137.3511,2000
2022-01-06 06:45:00,137.2514,137.2514,137.2514,137.2514,2460
2022-01-06 07:00:00,137.2171,137.4009,137.2171,137.4009,5020
