DateTime,Open,High,Low,Close,Volume
2022-01-03 04:00:00,29.6503,29.7102,29.6204,29.7102,50390
2022-01-03 04:15:00,29.7132,29.7132,29.6304,29.6503,60460
2022-01-03 04:30:00,29.6753,29.7691,29.6713,29.7651,33800
2022-01-03 04:45:00,29.7242,29.8101,29.7242,29.7432,18730
2022-01-03 05:00:00,29.7901,29.7901,29.7651,29.7901,13030
2022-01-03 05:15:00,29.7881,29.8220,29.7691,29.8220,38500
2022-01-03 05:30:00,29.8240,29.8440,29.8091,29.8250,60310
2022-01-03 05:45:00,29.8430,29.8879,29.8400,29.8879,9960
2022-01-03 06:00:00,29.8769,29.9388,29.8700,29.9289,97540
2022-01-03 06:15:00,29.8949,29.9398,29.8899,29.8899,36230
2022-01-03 06:30:00,29.9099,29.9339,29.8909,29.8999,27990
2022-01-03 06:45:00,29.8899,29.8949,29.8740,29.8949,8050
2022-01-03 07:00:00,29.8700,29.8899,29.7801,29.8899,577150
2022-01-03 07:15:00,29.8520,29.8750,29.8350,29.8480,65390
2022-01-03 07:30:00,29.8500,29.8670,29.8101,29.8121,140160
2022-01-03 07:45:00,29.8190,29.8400,29.7771,29.8330,75060
2022-01-03 08:00:00,29.8200,29.8999,29.7631,29.8999,1022730
2022-01-03 08:15:00,29.8919,29.9239,29.8200,29.8490,184040
2022-01-03 08:30:00,29.8570,29.8680,29.7651,29.7663,186990
2022-01-03 08:45:00,29.7722,29.8390,29.6503,29.6513,249150
2022-01-03 09:00:00,29.6503,29.7502,29.6274,29.6982,388780
2022-01-03 09:15:00,29.6953,29.8999,29.6633,29.7532,590360
2022-01-03 09:30:00,29.7741,30.6596,29.7352,30.4727,42334510
2022-01-03 09:45:00,30.4729,30.4999,29.8899,30.0455,28774680
2022-01-03 10:00:00,30.0546,30.3851,30.0287,30.3182,17474860
2022-01-03 10:15:00,30.3204,30.3741,30.0288,30.2465,14213490
2022-01-03 10:30:00,30.2458,30.3154,30.1355,30.2655,10666070
2022-01-03 10:45:00,30.2633,30.5199,30.2414,30.4610,13001630
2022-01-03 11:00:00,30.4600,30.5997,30.3146,30.3570,11946490
2022-01-03 11:15:00,30.3576,30.4200,30.3052,30.3621,7696180
2022-01-03 11:30:00,30.3611,30.3821,30.1904,30.2766,7510580
2022-01-03 11:45:00,30.2753,30.3561,30.1043,30.1275,7644430
2022-01-03 12:00:00,30.1195,30.1409,29.9997,30.0696,8601890
2022-01-03 12:15:00,30.0683,30.1974,30.0683,30.1829,4578520
2022-01-03 12:30:00,30.1831,30.1884,30.0996,30.1620,3523470
2022-01-03 12:45:00,30.1665,30.2633,30.1265,30.1455,4874340
2022-01-03 13:00:00,30.1515,30.2274,30.1126,30.1974,5520200
2022-01-03 13:15:00,30.1964,30.2114,30.0047,30.0287,6501480
2022-01-03 13:30:00,30.0267,30.0427,29.9229,29.9617,7612370
2022-01-03 13:45:00,29.9658,29.9708,29.8630,29.9139,7025430
2022-01-03 14:00:00,29.9139,29.9808,29.8839,29.9608,5577610
2022-01-03 14:15:00,29.9568,30.0746,29.9530,30.0608,5517440
2022-01-03 14:30:00,30.0615,30.1345,30.0317,30.1186,5559990
2022-01-03 14:45:00,30.1239,30.1964,30.0517,30.0684,6011050
2022-01-03 15:00:00,30.0696,30.1545,30.0367,30.1275,4920380
2022-01-03 15:15:00,30.1275,30.1295,29.9518,29.9748,6140750
2022-01-03 15:30:00,29.9738,30.0816,29.9350,29.9868,6802670
2022-01-03 15:45:00,29.9838,30.0836,29.9438,30.0656,12240890
2022-01-03 16:00:00,30.0656,30.0986,30.0497,30.0646,16790480
2022-01-03 16:15:00,30.0776,30.0866,30.0556,30.0796,116260
2022-01-03 16:30:00,30.0746,30.0796,30.0666,30.0706,49480
2022-01-03 16:45:00,30.0706,30.0796,30.0646,30.0746,42420
2022-01-03 17:00:00,30.0713,30.0846,30.0713,30.0776,17260
2022-01-03 17:15:00,30.0716,30.0846,30.0706,30.0736,147030
2022-01-03 17:30:00,30.0796,30.0846,30.0766,30.0826,32640
2022-01-03 17:45:00,30.0796,30.1066,30.0796,30.0836,155770
2022-01-03 18:00:00,30.0796,30.1145,30.0796,30.1145,19720
2022-01-03 18:15:00,30.0916,30.1195,30.0916,30.1145,25840
2022-01-03 18:30:00,30.0996,30.1026,30.0896,30.1026,40860
2022-01-03 18:45:00,30.0896,30.1016,29.9997,30.0247,222770
2022-01-03 19:00:00,30.0247,30.0247,29.9788,29.9928,99130
2022-01-03 19:15:00,29.9997,30.0586,29.9997,30.0307,32490
2022-01-03 19:30:00,30.0307,30.0696,30.0307,30.0497,56240
2022-01-03 19:45:00,30.0666,30.0926,30.0666,30.0846,138180
2022-01-04 04:00:00,30.0846,30.2893,30.0846,30.2603,48480
2022-01-04 04:15:00,30.2853,30.3192,30.2853,30.3192,16120
2022-01-04 04:30:00,30.3272,30.3292,30.2843,30.3292,31230
2022-01-04 04:45:00,30.3671,30.4041,30.3671,30.3781,25010
2022-01-04 05:00:00,30.3991,30.4140,30.3871,30.3941,16610
2022-01-04 05:15:00,30.3961,30.3961,30.3841,30.3841,2300
2022-01-04 05:30:00,30.3791,30.3991,30.3781,30.3991,17500
2022-01-04 05:45:00,30.3691,30.3741,30.3541,30.3741,9610
2022-01-04 06:00:00,30.3691,30.4390,30.3691,30.4250,40630
2022-01-04 06:15:00,30.4300,30.4300,30.3991,30.3991,18860
2022-01-04 06:30:00,30.4121,30.4440,30.4091,30.4440,16930
2022-01-04 06:45:00,30.4260,30.4350,30.3991,30.3991,17510
2022-01-04 07:00:00,30.4091,30.4091,30.3112,30.3322,229630
2022-01-04 07:15:00,30.3432,30.3432,30.2493,30.2603,68910
2022-01-04 07:30:00,30.2613,30.3242,30.2583,30.3242,84190
2022-01-04 07:45:00,30.3002,30.3262,30.2942,30.3252,73220
2022-01-04 08:00:00,30.3492,30.3991,30.1458,30.3292,563380
2022-01-04 08:15:00,30.3192,30.3731,30.3052,30.3392,133590
2022-01-04 08:30:00,30.3282,30.3352,30.2493,30.2933,198940
2022-01-04 08:45:00,30.2703,30.3242,30.2593,30.2933,158200
2022-01-04 09:00:00,30.2982,30.3591,30.2733,30.3591,289020
2022-01-04 09:15:00,30.3581,30.4490,30.2094,30.2174,474900
2022-01-04 09:30:00,30.2104,30.4170,30.0097,30.1415,25558370
2022-01-04 09:45:00,30.1415,30.1844,29.6284,29.6703,18267630
2022-01-04 10:00:00,29.6648,29.7042,29.3149,29.3928,22819790
2022-01-04 10:15:00,29.3916,29.4676,29.3039,29.4237,15114660
2022-01-04 10:30:00,29.4179,29.4606,28.7778,28.8057,28651560
2022-01-04 10:45:00,28.8152,28.9315,28.5771,28.5791,18200300
2022-01-04 11:00:00,28.5861,28.6540,28.3016,28.5427,24898390
2022-01-04 11:15:00,28.5457,28.6201,28.3865,28.5352,14824420
2022-01-04 11:30:00,28.5352,28.8117,28.5072,28.7249,20069740
2022-01-04 11:45:00,28.7189,28.7768,28.6071,28.6520,9921510
2022-01-04 12:00:00,28.6425,28.7429,28.5322,28.6638,8394600
2022-01-04 12:15:00,28.6580,28.8067,28.6520,28.7219,8790880
2022-01-04 12:30:00,28.7184,28.7568,28.5981,28.6126,6930660
2022-01-04 12:45:00,28.6131,28.6200,28.4593,28.4713,8108470
2022-01-04 13:00:00,28.4753,28.5731,28.4224,28.4813,9393300
2022-01-04 13:15:00,28.4793,28.6730,28.4723,28.6191,6022190
2022-01-04 13:30:00,28.6220,28.6680,28.5162,28.6348,6614020
2022-01-04 13:45:00,28.6300,28.6700,28.4533,28.4773,5424850
2022-01-04 14:00:00,28.4683,28.6959,28.4633,28.6839,7186920
2022-01-04 14:15:00,28.6854,28.7488,28.6320,28.6630,7639190
2022-01-04 14:30:00,28.6580,28.8427,28.6490,28.8217,9716050
2022-01-04 14:45:00,28.8187,28.8307,28.7389,28.7908,7481130
2022-01-04 15:00:00,28.7928,28.9525,28.7908,28.9500,12984120
2022-01-04 15:15:00,28.9485,29.1138,28.9215,29.1092,13905480
2022-01-04 15:30:00,29.1132,29.2131,29.0304,29.1751,13391620
2022-01-04 15:45:00,29.1791,29.3458,29.1412,29.2500,22745120
2022-01-04 16:00:00,29.2445,29.2500,29.1152,29.1312,24225340
2022-01-04 16:15:00,29.1182,29.2340,29.1162,29.1711,253290
2022-01-04 16:30:00,29.1611,29.1701,29.1312,29.1502,73130
2022-01-04 16:45:00,29.1412,29.1512,29.1012,29.1112,91200
2022-01-04 17:00:00,29.1112,29.1112,29.0913,29.0913,58730
2022-01-04 17:15:00,29.1012,29.1132,29.0933,29.1002,51210
2022-01-04 17:30:00,29.1062,29.1062,29.0773,29.0843,65060
2022-01-04 17:45:00,29.0853,29.1012,29.0853,29.0913,42170
2022-01-04 18:00:00,29.0963,29.1052,29.0264,29.0314,161420
2022-01-04 18:15:00,29.0314,29.0324,28.9785,29.0204,50820
2022-01-04 18:30:00,29.0114,29.0314,29.0024,29.0044,80040
2022-01-04 18:45:00,29.0054,29.0204,28.9585,28.9874,81610
2022-01-04 19:00:00,28.9715,28.9874,28.9265,28.9415,103080
2022-01-04 19:15:00,28.9425,28.9814,28.9315,28.9615,50070
2022-01-04 19:30:00,28.9605,28.9715,28.9465,28.9525,58760
2022-01-04 19:45:00,28.9525,28.9695,28.9515,28.9515,174740
2022-01-05 04:00:00,29.0493,29.0493,28.7129,28.7319,28940
2022-01-05 04:15:00,28.7878,28.9136,28.7828,28.8517,38380
2022-01-05 04:30:00,28.8517,28.8916,28.8367,28.8706,24220
2022-01-05 04:45:00,28.8736,28.9146,28.8547,28.9006,35010
2022-01-05 05:00:00,28.9265,28.9265,28.9166,28.9166,4630
2022-01-05 05:15:00,28.9435,28.9894,28.9435,28.9894,47110
2022-01-05 05:30:00,29.0084,29.0403,28.9205,28.9205,21200
2022-01-05 05:45:00,28.9215,28.9485,28.9066,28.9066,35700
2022-01-05 06:00:00,28.9016,28.9016,28.8317,28.8517,36420
2022-01-05 06:15:00,28.8517,28.8537,28.8127,28.8127,17580
2022-01-05 06:30:00,28.8267,28.8816,28.8137,28.8816,7980
2022-01-05 06:45:00,28.8666,28.9016,28.8517,28.8846,4000
2022-01-05 07:00:00,28.9126,28.9435,28.8397,28.9365,198140
2022-01-05 07:15:00,28.9275,28.9765,28.8916,28.8916,147930
2022-01-05 07:30:00,28.9066,28.9315,28.8716,28.9036,81910
2022-01-05 07:45:00,28.9205,28.9245,28.8387,28.8786,81720
2022-01-05 08:00:00,28.9219,29.3141,28.7618,28.7678,419740
2022-01-05 08:15:00,28.7788,28.8776,28.7518,28.8666,128140
2022-01-05 08:30:00,28.8766,28.9215,28.8736,28.9016,172640
2022-01-05 08:45:00,28.9016,29.0124,28.8517,28.9864,163380
2022-01-05 09:00:00,28.9735,28.9984,28.8207,28.9235,270300
2022-01-05 09:15:00,28.9216,28.9515,28.8267,28.8547,138280
2022-01-05 09:30:00,28.9006,29.0952,28.5342,28.8027,23411900
2022-01-05 09:45:00,28.7928,29.2700,28.7139,29.2071,19932640
